City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,mount pearl,47.5166,-52.7813,20.81,96,100,1.79,CA,1722820433
276,puerto baquerizo moreno,-0.9,-89.6,19.64,85,26,5.63,EC,1722820207
277,tonghae,37.5439,129.1069,29.13,74,0,2.91,KR,1722820435
278,wang sai phun,16.3885,100.538,24.3,94,100,3.05,TH,1722820436
279,oranjemund,-28.55,16.4333,10.34,76,0,2.8,NA,1722820437
280,pangody,65.85,74.4859,12.0,58,100,7.31,RU,1722820438
281,horta,38.5333,-28.6333,24.45,95,31,2.24,PT,1722820439
282,baramula,34.2,74.35,20.24,86,52,1.15,IN,1722820372
283,sandnessjoen,66.0217,12.6316,16.29,76,30,5.54,NO,1722820441
284,montecristo,8.2971,-74.4733,25.44,91,100,0.91,CO,1722820442
285,tsiombe,-25.3,45.4833,15.55,93,1,1.48,MG,1722820443
286,yamada,39.4667,141.95,27.24,78,78,2.08,JP,1722820444
287,boca suno,-0.7167,-77.1333,21.98,98,78,1.36,EC,1722820445
288,sandona,1.2915,-77.4741,16.18,95,87,1.13,CO,1722820446
289,kroya,-7.6331,109.2461,25.8,77,33,1.96,ID,1722820447
290,ndende,-2.4008,11.3581,20.22,81,63,1.96,GA,1722820448
291,muang phon-hong,18.4928,102.4172,23.25,97,100,0.43,LA,1722820449
292,arteaga,18.4667,-102.4167,21.79,99,100,1.81,MX,1722820451
293,ulladulla,-35.35,150.4667,15.88,49,100,2.24,AU,1722820452
294,brisas de zicatela,15.8369,-97.0419,27.93,79,99,1.92,MX,1722820453
295,laguna,38.421,-121.4238,39.23,18,0,5.14,US,1722820454
296,udachny,66.4167,112.4,19.88,44,100,4.81,RU,1722820455
297,ginir,7.1333,40.7,16.69,75,91,2.34,ET,1722820456
298,zhangye,38.9342,100.4517,28.04,19,100,3.5,CN,1722820457
299,santa lucia,27.9117,-15.5407,18.62,73,20,9.77,ES,1722820458
300,tadine,-21.55,167.8833,22.03,53,10,6.61,NC,1722820328
301,hola,51.5377,23.1902,18.1,59,100,2.23,PL,1722820460
302,san patricio,28.017,-97.5169,31.05,58,5,5.07,US,1722820461
303,midvagur,62.0511,-7.1939,12.46,94,100,10.8,FO,1722820462
304,huarmey,-10.0681,-78.1522,17.03,84,6,4.84,PE,1722820463
305,bahia blanca,-38.7196,-62.2724,12.81,46,100,4.2,AR,1722820443
306,seeb,23.6703,58.1891,29.57,86,100,5.19,OM,1722820465
307,ust'-ilimsk,58.0006,102.6619,18.86,54,0,1.18,RU,1722820466
308,sulak,43.2734,47.5146,25.54,75,0,5.34,RU,1722820467
309,acarau,-2.8856,-40.12,25.0,83,4,7.09,BR,1722820469
310,nova sintra,14.8667,-24.7167,26.68,78,100,2.42,CV,1722820470
311,kailua-kona,19.6406,-155.9956,28.98,78,100,4.12,US,1722820471
312,pudozh,61.8099,36.5345,11.54,94,20,1.78,RU,1722820472
313,ratnagiri,16.9833,73.3,25.95,90,100,4.48,IN,1722820473
314,labytnangi,66.6572,66.4183,9.35,61,100,9.14,RU,1722819902
315,saint-pierre,-21.3393,55.4781,18.82,55,40,3.6,RE,1722820475
316,jolo,6.05,121.0167,29.36,69,99,1.48,PH,1722820476
317,arteche,12.2645,125.4048,28.87,73,87,2.56,PH,1722820321
318,rio grande,-32.035,-52.0986,13.86,96,100,8.29,BR,1722820478
319,ryotsu-minato,38.0833,138.4333,26.48,88,54,3.43,JP,1722820479
320,peace river,56.2501,-117.286,18.17,77,100,5.66,CA,1722820480
321,graaff-reinet,-32.2522,24.5308,6.62,69,72,1.6,ZA,1722820481
322,lihue,21.9789,-159.3672,27.77,70,100,6.69,US,1722820482
323,susuman,62.7833,148.1667,17.33,38,4,2.55,RU,1722820483
324,tolanaro,-25.0319,46.9987,17.44,90,0,3.2,MG,1722820484
325,nikko,36.75,139.6167,28.97,62,0,2.73,JP,1722820486
326,ouarzazat,30.9189,-6.8934,32.16,14,20,4.12,MA,1722819908
327,lospalos,-8.5186,127.0025,23.92,71,100,4.54,TL,1722820488
328,puerto deseado,-47.7503,-65.8938,5.0,95,95,4.79,AR,1722820489
329,labuan,5.2767,115.2417,27.32,80,36,3.37,MY,1722820490
330,novyy urengoy,66.0833,76.6333,10.98,58,100,6.96,RU,1722819900
331,san fernando,15.0286,120.6898,28.85,73,100,2.0,PH,1722819979
332,kill devil hills,36.0307,-75.676,26.1,88,0,6.17,US,1722820335
